Gmt time,Open,High,Low,Close,Volume
21.04.2006 00:00:00.000,265.920,265.930,263.350,263.050,2316.627
22.04.2006 00:00:00.000,263.050,263.050,263.050,263.050,0
23.04.2006 00:00:00.000,263.050,263.050,263.050,263.050,0
24.04.2006 00:00:00.000,263.920,263.930,262.390,262.420,2659.8311
25.04.2006 00:00:00.000,262.430,264.940,262.430,264.140,5619.9653
26.04.2006 00:00:00.000,264.140,266.430,264.140,265.390,3260.438
27.04.2006 00:00:00.000,265.370,265.620,263.750,263.930,4504.5527
28.04.2006 00:00:00.000,263.880,264.920,263.230,263.320,2273.7266
29.04.2006 00:00:00.000,263.320,263.320,263.320,263.320,0
30.04.2006 00:00:00.000,263.320,263.320,263.320,263.320,0
01.05.2006 00:00:00.000,262.650,264.520,262.650,263.690,5233.8608
02.05.2006 00:00:00.000,263.740,264.180,262.600,262.500,5319.6621
03.05.2006 00:00:00.000,262.180,262.610,260.030,260.340,5148.0601
04.05.2006 00:00:00.000,260.090,261.560,259.830,260.050,3689.4431
05.05.2006 00:00:00.000,259.940,260.670,259.760,260.030,5276.7617
06.05.2006 00:00:00.000,260.030,260.030,260.030,260.030,0
07.05.2006 00:00:00.000,260.030,260.030,260.030,260.030,0
08.05.2006 00:00:00.000,259.790,260.400,258.910,258.780,3303.3384
09.05.2006 00:00:00.000,258.430,261.010,258.430,260.700,1758.9205
10.05.2006 00:00:00.000,260.300,261.480,260.300,260.500,4547.4531
11.05.2006 00:00:00.000,260.200,263.570,260.200,263.570,3088.8359
12.05.2006 00:00:00.000,261.310,266.590,261.310,266.200,2788.5325
13.05.2006 00:00:00.000,266.200,266.200,266.200,266.200,0
14.05.2006 00:00:00.000,266.200,266.200,266.200,266.200,0
15.05.2006 00:00:00.000,264.670,269.320,263.870,266.090,2230.8259
16.05.2006 00:00:00.000,265.950,265.950,262.540,262.400,4204.249
17.05.2006 00:00:00.000,263.570,266.140,261.380,266.010,2445.3286
18.05.2006 00:00:00.000,263.570,266.190,263.570,264.450,3346.239
19.05.2006 00:00:00.000,264.000,264.630,263.030,263.570,3131.7366
20.05.2006 00:00:00.000,263.570,263.570,263.570,263.570,0
21.05.2006 00:00:00.000,263.570,263.570,263.570,263.570,0
22.05.2006 00:00:00.000,263.100,265.470,263.500,264.510,5319.6621
23.05.2006 00:00:00.000,263.750,264.380,261.720,262.050,2574.03
24.05.2006 00:00:00.000,263.280,264.010,261.560,263.220,3260.438
25.05.2006 00:00:00.000,262.350,262.560,261.510,261.100,2187.9255
26.05.2006 00:00:00.000,260.780,261.430,260.920,260.550,2445.3286
27.05.2006 00:00:00.000,260.550,260.550,260.550,260.550,0
28.05.2006 00:00:00.000,260.550,260.550,260.550,260.550,0
29.05.2006 00:00:00.000,260.330,262.060,260.950,260.750,2359.5276
30.05.2006 00:00:00.000,260.520,262.040,261.160,261.570,3560.7415
31.05.2006 00:00:00.000,261.570,263.330,261.620,262.920,1801.821
01.06.2006 00:00:00.000,262.940,263.470,261.860,262.010,3432.04
02.06.2006 00:00:00.000,262.010,264.640,261.220,262.860,5148.0601
03.06.2006 00:00:00.000,262.860,262.860,262.860,262.860,0
04.06.2006 00:00:00.000,262.860,262.860,262.860,262.860,0
05.06.2006 00:00:00.000,261.800,264.360,262.250,263.840,2659.8311
06.06.2006 00:00:00.000,263.840,263.970,262.700,263.180,5233.8608
07.06.2006 00:00:00.000,263.210,263.660,261.700,261.780,4161.3486
08.06.2006 00:00:00.000,261.780,264.730,262.080,263.980,5019.3584
09.06.2006 00:00:00.000,263.980,264.520,263.160,264.420,1716.02
10.06.2006 00:00:00.000,264.420,264.420,264.420,264.420,0
11.06.2006 00:00:00.000,264.420,264.420,264.420,264.420,0
12.06.2006 00:00:00.000,264.070,268.470,263.950,268.400,1630.219
13.06.2006 00:00:00.000,268.440,271.620,268.450,269.680,2531.1294
14.06.2006 00:00:00.000,269.680,270.680,268.850,270.320,5619.9653
15.06.2006 00:00:00.000,270.320,273.870,269.010,273.190,3303.3384
16.06.2006 00:00:00.000,273.270,274.430,271.810,273.580,5662.8662
17.06.2006 00:00:00.000,273.580,273.580,273.580,273.580,0
18.06.2006 00:00:00.000,273.580,273.580,273.580,273.580,0
19.06.2006 00:00:00.000,273.440,276.710,273.500,276.060,4332.9507
20.06.2006 00:00:00.000,276.130,277.280,274.550,276.430,2102.1245
21.06.2006 00:00:00.000,276.630,279.200,275.850,277.530,2016.3235
22.06.2006 00:00:00.000,277.530,279.260,275.490,277.810,4161.3486
23.06.2006 00:00:00.000,277.810,282.000,277.990,280.580,5448.3633
24.06.2006 00:00:00.000,280.580,280.580,280.580,280.580,0
25.06.2006 00:00:00.000,280.580,280.580,280.580,280.580,0
26.06.2006 00:00:00.000,280.070,281.570,279.470,280.170,4719.0552
27.06.2006 00:00:00.000,279.830,280.420,278.790,278.960,3432.04
28.06.2006 00:00:00.000,278.660,281.240,279.270,280.210,3989.7466
29.06.2006 00:00:00.000,280.160,284.830,280.440,284.310,1415.7166
30.06.2006 00:00:00.000,284.010,284.290,281.800,283.030,3389.1394
01.07.2006 00:00:00.000,283.030,283.030,283.030,283.030,0
02.07.2006 00:00:00.000,283.030,283.030,283.030,283.030,0
03.07.2006 00:00:00.000,283.030,283.810,280.470,280.600,5105.1597
04.07.2006 00:00:00.000,280.550,282.450,278.800,278.980,2273.7266
